ECCS_Clone_RowId,FacilityMnem_Source,Accommodation_Mnem_Source,Accommodation_Name_Source,PA_Code_Source,Active_Source,TargetMatchMtx,DB_RecordCount,FacilityMnem_Target,Accommodation_Mnem_Target,Accommodation_Name_Target,PA_Code_Target,Active_Target,DisplayCurrentValues,ExcludeFromSharepoint,Action To Take,Update_User,Update_Datetime,System_Update_User,System_Update_Datetime,ECCS_SourceServer,ECCS_SourceDatabase,ECCS_SourceProcedure,ECCS_ScopeKind,ECCS_ScopeValue,ECCS_SourceUser,ECCS_ClonedAtUtc
15,CMCH,ICU-Trauma Daily Care,ICU-Trauma Daily Care,#N/A,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,32:25.1,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
16,CMCH,ICU-Trauma with ECMO,ICU-Trauma with ECMO,,Y,"TEST (2026-09-20),LIVE (2026-09-04)",0,CMCH,TREC,TRAUMA ECMO,TREC,Y,Y,N,None,IIU4396,20:29.4,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
17,CMCH,Intensive Newborn,Intensive Newborn,L4,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,L4,NEWBORN LEVEL IV CARE,L4,Y,Y,N,None,IIU4396,32:25.1,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
18,CMCH,Intermediate Newborn,Intermediate Newborn,L3,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,L3,NEWBORN LEVEL III CARE,L3,Y,Y,N,None,IIU4396,32:25.2,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
19,CMCH,LOA,LOA,LA,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,PR,PRIVATE ROOM,PR,Y,Y,N,None,IIU4396,32:25.2,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
20,CMCH,Normal Newborn,Normal Newborn,L1,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,L1,NEWBORN LEVEL I CARE,L1,Y,Y,N,None,IIU4396,32:25.2,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
21,CMCH,Observation,Observation,O,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,PR,PRIVATE ROOM,PR,Y,Y,N,None,IIU4396,32:25.7,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
22,CMCH,Observation Direct Admit,Observation Direct Admit,OA,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,SP,SEMI PRIVATE ROOM,SP,Y,Y,N,None,IIU4396,32:25.8,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
23,CMCH,Observation Telemetry,Observation Telemetry,OT,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,TEL,TELEMETRY,TE,Y,Y,N,None,IIU4396,32:25.8,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
24,CMCH,Obstetrics IP,Obstetrics IP,LD,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,LD,LABOR AND DELIVERY,LD,Y,Y,N,None,IIU4396,32:25.8,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
25,CMCH,Obstetrics Triage,Obstetrics Triage,OB,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,LD,LABOR AND DELIVERY,LD,Y,Y,N,None,MLT6916,27:38.7,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
26,CMCH,Outpatientin Bed,Outpatientin Bed,OP,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,PR,PRIVATE ROOM,PR,Y,Y,N,None,MLT6916,32:54.3,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
27,CMCH,Overflow,Overflow,OF,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,PC,PROGRESSIVE CARE,PC,Y,Y,N,None,IIU4396,32:25.9,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
28,CMCH,Overflow Telemetry,Overflow Telemetry,TO,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,TEL,TELEMETRY,TE,Y,Y,N,None,IIU4396,32:25.9,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
29,CMCH,Private,Private,PR,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,PR,PRIVATE ROOM,PR,Y,Y,N,None,IIU4396,32:26.0,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
30,CMCH,Progressive Care,Progressive Care,PC,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,PC,PROGRESSIVE CARE,PC,Y,Y,N,None,IIU4396,32:26.0,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
31,CMCH,Semi Private,Semi Private,SP,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,SP,SEMI PRIVATE ROOM,SP,Y,Y,N,None,IIU4396,32:26.0,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
32,CMCH,SemiPrivate,SemiPrivate,SP,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,SP,SEMI PRIVATE ROOM,SP,Y,Y,N,None,IIU4396,32:26.1,HCA\IIU4396,55:40.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
33,CMCH,Telemetry Private,Telemetry Private,TP,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,TEL,TELEMETRY,TE,Y,Y,N,None,MLT6916,27:38.7,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
34,CMCH,Telemetry Semiprivate,Telemetry Semiprivate,TS,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,TEL,TELEMETRY,TE,Y,Y,N,None,MLT6916,05:06.8,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
35,COCAG,3RB,RECONSTRUCTIVE BURN,3R,Y,NO MATCH,31,COCAG,BPC,BURN PCU,BP,Y,Y,N,None,FRE8115,57:43.6,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
36,COCAG,4EO,4 EAST OVERFLOW IN ER,4E,N,NO MATCH,0,COCAG,,,,,N,Y,None,FRE8115,42:23.7,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
37,COCAG,4WA,4W R/B ACUTE BURNS,4A,Y,NO MATCH,0,COCAG,BIC,BURN INTINSIVE CARE,BI,Y,Y,N,None,FRE8115,57:43.7,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
38,COCAG,4WR,4W R/B RECONSTRUCTION BURN,4R,Y,NO MATCH,0,COCAG,BM,BURN MEDICAL,BM,Y,Y,N,None,FRE8115,57:43.8,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
